"tSNE1" "tSNE2" "prediction" "batch"
49.5334814497663 -14.8550616626472 "Naive CD8+ T" "exprs_10xPBMC_atac"
-10.0113811146705 -7.0761190819759 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-0.965137586806594 -3.2084112078227 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-19.0178949090689 -18.7559303352716 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.13841052682744 23.846063860139 "Naive CD4+ T" "exprs_10xPBMC_atac"
-0.305436816273439 45.8445478943095 "Naive CD4+ T" "exprs_10xPBMC_atac"
-12.6565780991199 -4.2688995196164 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-16.0958982285542 -8.32745934898219 "CD14+ Monocytes" "exprs_10xPBMC_atac"
3.10421103143872 32.3570930392686 "Naive CD4+ T" "exprs_10xPBMC_atac"
-7.80719744032725 -14.3394813659599 "CD14+ Monocytes" "exprs_10xPBMC_atac"
7.56606490948841 -37.0677673569261 "Memory CD8+ T" "exprs_10xPBMC_atac"
-18.7235196009002 -5.44359693753513 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.07443169915845 -5.57391767226379 "CD14+ Monocytes" "exprs_10xPBMC_atac"
23.6911452339102 28.6861323596245 "NK" "exprs_10xPBMC_atac"
4.67056348440438 -37.9929691896915 "Memory CD8+ T" "exprs_10xPBMC_atac"
49.5262772352582 -16.2951893201343 "Naive CD8+ T" "exprs_10xPBMC_atac"
-5.67885297640806 25.2771550103897 "Naive CD4+ T" "exprs_10xPBMC_atac"
-25.886495961713 -2.73352448726864 "CD14+ Monocytes" "exprs_10xPBMC_atac"
9.00006825615355 -35.9906752445862 "Memory CD8+ T" "exprs_10xPBMC_atac"
6.8995174939731 -41.4571105813409 "Memory CD8+ T" "exprs_10xPBMC_atac"
4.58958295744586 37.5576811007586 "Naive CD4+ T" "exprs_10xPBMC_atac"
-1.69024941091967 32.5679742589185 "Naive CD4+ T" "exprs_10xPBMC_atac"
2.07984008050728 30.325996711746 "Naive CD4+ T" "exprs_10xPBMC_atac"
-37.2761583162351 24.5828221350071 "B" "exprs_10xPBMC_atac"
3.63375189788058 29.8954650558544 "Naive CD4+ T" "exprs_10xPBMC_atac"
-5.61323475409058 39.2183286918252 "Naive CD4+ T" "exprs_10xPBMC_atac"
7.20744882043348 -26.6400897960335 "Memory CD8+ T" "exprs_10xPBMC_atac"
27.9162816133892 36.2032552229825 "NK" "exprs_10xPBMC_atac"
