"UMAP1" "UMAP2" "prediction" "batch"
-3.34656464057519 -2.81725850259422 "Naive CD8+ T" "exprs_10xPBMC_atac"
7.08007563156532 -2.43373932992576 "CD14+ Monocytes" "exprs_10xPBMC_atac"
5.38722599548743 -3.95265212213157 "CD14+ Monocytes" "exprs_10xPBMC_atac"
7.77827490372108 -1.72444214974998 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-2.32615386443688 -9.70064177667259 "Naive CD4+ T" "exprs_10xPBMC_atac"
-6.13906585174157 -10.731024886719 "Naive CD4+ T" "exprs_10xPBMC_atac"
6.95987690491126 -3.44274678384422 "CD14+ Monocytes" "exprs_10xPBMC_atac"
7.48411835235999 -2.63188662683128 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-3.73695384460046 -11.2314673916018 "Naive CD4+ T" "exprs_10xPBMC_atac"
6.08303917450355 -2.10944094812034 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-9.25335084395959 9.03000817144753 "Memory CD8+ T" "exprs_10xPBMC_atac"
7.38924778503822 -2.97904315148948 "CD14+ Monocytes" "exprs_10xPBMC_atac"
5.76420534653114 -3.31808653031944 "CD14+ Monocytes" "exprs_10xPBMC_atac"
6.22518909973548 9.91609368170144 "NK" "exprs_10xPBMC_atac"
-9.6120172639425 9.41131100500466 "Memory CD8+ T" "exprs_10xPBMC_atac"
-3.45353924232079 -3.19072451745628 "Naive CD8+ T" "exprs_10xPBMC_atac"
-2.42908989387109 -9.52281108056663 "Naive CD4+ T" "exprs_10xPBMC_atac"
8.46488607925819 -2.66825475846885 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.78133069472863 8.97502598608376 "Memory CD8+ T" "exprs_10xPBMC_atac"
-8.70204984145715 10.1537683948362 "Memory CD8+ T" "exprs_10xPBMC_atac"
-4.6063381333883 -11.2834826961672 "Naive CD4+ T" "exprs_10xPBMC_atac"
-3.61706196265771 -10.214513923279 "Naive CD4+ T" "exprs_10xPBMC_atac"
-3.39054428535058 -11.1125747219241 "Naive CD4+ T" "exprs_10xPBMC_atac"
-1.12458836036279 10.6295259937132 "B" "exprs_10xPBMC_atac"
-3.15456329780175 -11.1635762706911 "Naive CD4+ T" "exprs_10xPBMC_atac"
-4.84989892440392 -9.583280707947 "Naive CD4+ T" "exprs_10xPBMC_atac"
-9.38105164962365 7.83758911932351 "Memory CD8+ T" "exprs_10xPBMC_atac"
6.41720903915809 11.7500685199583 "NK" "exprs_10xPBMC_atac"
8.56418741745399 -3.35787191545127 "CD14+ Monocytes" "exprs_10xPBMC_atac"
8.6898044447367 -2.9561895385897 "CD14+ Monocytes" "exprs_10xPBMC_atac"
