"UMAP1" "UMAP2" "prediction" "batch"
0.496664066712235 -10.6641908523021 "Naive CD8+ T" "exprs_10xPBMC_atac"
-5.38327618976417 -2.42695029939984 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.00955602069678 0.0317275885167288 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.21243163486304 0.992887294632451 "CD14+ Monocytes" "exprs_10xPBMC_atac"
8.26407650570092 -9.7080512877879 "Naive CD4+ T" "exprs_10xPBMC_atac"
7.51642445186791 -5.68298205103253 "Naive CD4+ T" "exprs_10xPBMC_atac"
-7.85255786319556 -0.372454249518855 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.40545913120094 -0.445955538409693 "CD14+ Monocytes" "exprs_10xPBMC_atac"
7.80962065319238 -8.24460419382427 "Naive CD4+ T" "exprs_10xPBMC_atac"
-6.90648385425391 -0.367895887452109 "CD14+ Monocytes" "exprs_10xPBMC_atac"
3.19026259044823 10.9935793045583 "Memory CD8+ T" "exprs_10xPBMC_atac"
-8.17898436923804 -0.482713856953127 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.79122849841895 -1.73356803621624 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-4.00276872058692 9.61550751958515 "NK" "exprs_10xPBMC_atac"
2.60017040828881 10.9608968857351 "Memory CD8+ T" "exprs_10xPBMC_atac"
0.831261132757042 -9.57722433771466 "Naive CD8+ T" "exprs_10xPBMC_atac"
7.47038487056908 -9.96276148523663 "Naive CD4+ T" "exprs_10xPBMC_atac"
-7.85576697727027 -1.537999355453 "CD14+ Monocytes" "exprs_10xPBMC_atac"
3.46336535076318 11.4965976837697 "Memory CD8+ T" "exprs_10xPBMC_atac"
1.8641252861422 11.4890226486745 "Memory CD8+ T" "exprs_10xPBMC_atac"
7.8048265324038 -7.88804444040631 "Naive CD4+ T" "exprs_10xPBMC_atac"
8.39585713009057 -8.62033804621075 "Naive CD4+ T" "exprs_10xPBMC_atac"
8.00770357708154 -7.24632271494244 "Naive CD4+ T" "exprs_10xPBMC_atac"
2.01465324024377 1.2327069405141 "B" "exprs_10xPBMC_atac"
7.38210991481957 -9.21246489252423 "Naive CD4+ T" "exprs_10xPBMC_atac"
8.31971768001733 -7.4602166053233 "Naive CD4+ T" "exprs_10xPBMC_atac"
9.84951046566186 4.26047841344501 "Memory CD4+ T" "exprs_10xPBMC_atac"
-4.51556321521583 9.27070466313984 "NK" "exprs_10xPBMC_atac"
-7.49146672626319 -1.54126223291729 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.31890460391822 -1.78173192705487 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.27095481296363 -0.87141647304867 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.12555476566138 10.1710199478688 "NK" "exprs_10xPBMC_atac"
7.92271593670068 -6.95489462580059 "Naive CD4+ T" "exprs_10xPBMC_atac"
2.13903132538018 11.8096145752492 "Memory CD8+ T" "exprs_10xPBMC_atac"
7.51059511760888 -8.47796972956036 "Naive CD4+ T" "exprs_10xPBMC_atac"
-6.89966937442603 -2.40703471865032 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.44795390506568 -0.740108275073512 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-8.6568524493772 0.0449643496098684 "CD14+ Monocytes" "exprs_10xPBMC_atac"
1.32908347706017 5.11538783345844 "B" "exprs_10xPBMC_atac"
7.05949286083398 -7.10619267191265 "Naive CD4+ T" "exprs_10xPBMC_atac"
7.28607300380883 -8.96046408380841 "Naive CD4+ T" "exprs_10xPBMC_atac"
8.01069191555199 2.77542964254047 "Memory CD4+ T" "exprs_10xPBMC_atac"
-8.73341819186988 -0.132379987495883 "CD14+ Monocytes" "exprs_10xPBMC_atac"
8.69693878750024 -8.73872717584942 "Naive CD4+ T" "exprs_10xPBMC_atac"
-6.36283561130347 -1.41369386877392 "CD14+ Monocytes" "exprs_10xPBMC_atac"
9.80260780910668 1.88600245748188 "Memory CD4+ T" "exprs_10xPBMC_atac"
-7.56291171451392 0.32126615081455 "CD14+ Monocytes" "exprs_10xPBMC_atac"
0.450875465671394 -11.0172811385569 "Naive CD8+ T" "exprs_10xPBMC_atac"
3.5664608822268 11.0328764084401 "Memory CD8+ T" "exprs_10xPBMC_atac"
0.504552055994843 -9.66917666162823 "Naive CD8+ T" "exprs_10xPBMC_atac"
-7.17611714740577 0.0757054451527762 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-3.64770003696265 4.02338973317768 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-5.4867560519773 -0.898197197574122 "CD14+ Monocytes" "exprs_10xPBMC_atac"
-6.17457505603614 0.420551097733037 "CD14+ Monocytes" "exprs_10xPBMC_atac"
7.90533474544701 2.96354714666034 "Memory CD4+ T" "exprs_10xPBMC_atac"
-6.15339681049171 -1.38984187807415 "CD14+ Monocytes" "exprs_10xPBMC_atac"
